id,url,host,title,subtotal,service tax,total,Size,Height,Storage Type,Access,Hours,location,summary,images
1,https://www.neighbor.com/listings/texas/texas-city/49909,Dhaval,Unpaved Lot in Texas City,$679,$37.87,$716.87,125'x50',None,Unpaved Lot,Daily,24/7,Texas City,"Its open residential lot opposite to school. Located in a safe single family community and close to 146, it's a great and secure lot for any vehicle! Let me know if you have any questions. 
Perfect for boat storage.","images/232362-74688.jpg,images/224924-02804.jpg,images/232361-75771.jpg,images/232363-33942.jpg,images/232364-58754.jpg,images/232365-99980.jpg"
2,https://www.neighbor.com/listings/texas/galveston/220336,Savannah,Attic in Galveston,$120,$15.60,$135.60,15'x15',None,Attic,Weekly,24/7,Galveston,"The attic is accessible through an opening in our hallway. There are no stairs, however we would move the items into the attic for you, if desired. I would highly recommend a plastic storage bin, so it's easier to stack.","images/819832-07220.png,images/819833-10004.png,images/819834-23136.png,images/819835-21326.png"
3,https://www.neighbor.com/listings/texas/texas-city/54572,Andrew,Driveway in Texas City,"$110 / mo
$55",$14.85 / mo,$124.85 / mo,40'x17',None,Driveway,Daily,24/7,Texas City,"Extended driveway with security cameras ready for your boat,RV, Jetski. Minutes away from the Texas City Dike and Moses Lake!",images/241380-94918.jpg
4,https://www.neighbor.com/listings/texas/texas-city/194425,Dequann,Parking Lot in Texas City,"$134 / mo
$67",$16.49 / mo,$150.49 / mo,21'x20',None,Parking Lot,Daily,24/7,Texas City,This parking space is perfect for any size car. There’s plenty of security and gated with passcode.,
5,https://www.neighbor.com/listings/texas/san-leon/159415,Ryan,Driveway in San Leon,$150,$17.44,$167.44,100'x50',None,Driveway,Daily,Daytime hours,San Leon,Open field. Can park anything large here. Over 2 acres.,"images/648486-11431.jpg,images/648487-81748.jpg,images/648488-23595.jpg,images/648489-05227.jpg"
6,https://www.neighbor.com/listings/texas/dickinson/122132,Timothy,Unpaved Lot in Dickinson,"$500 / mo
$250",$32.15 / mo,$532.15 / mo,165'x110',None,Unpaved Lot,Daily,24/7,Dickinson,"1/2 acre of yard in front of busy street good for selling or parking , close to local fire station for security concerns",images/570127-31856.jpeg
7,https://www.neighbor.com/listings/texas/la-marque/106390,Joseph,Shed in La Marque,$60,$10.50,$70.50,10'x10',None,Shed,Daily,Daytime hours,La Marque,Shed that we don't use at all. Can be locked and no pets or smoke.,images/541897-90794.jpeg
8,https://www.neighbor.com/listings/texas/la-marque/106386,Joseph,Garage in La Marque,$120,$15.60,$135.60,22'x12',None,Garage,Daily,Daytime hours,La Marque,"1 car garage, smoke free and pet free. We never use the garage.",
9,https://www.neighbor.com/listings/texas/la-marque/223249,None,Jay,"$101 / mo
$50.50",$14.09 / mo,$115.09 / mo,Jay,None,Jay,None,None,None,Features,
10,https://www.neighbor.com/listings/texas/hitchcock/165920,Marquis,Parking Lot in Hitchcock,$50,$9.38,$59.38,20'x10',None,Parking Lot,Daily,24/7,Hitchcock,Privately owned rental property. I have a cabin with an unused loft area. I also have at least 2 parking spots available. Live & work on property.,images/735485-17279.jpeg
11,https://www.neighbor.com/listings/texas/bolivar-peninsula/215107,None,Mark,"$175 / mo
$87.50",$18.71 / mo,$193.71 / mo,Mark,None,Mark,None,None,None,Features,"images/803964-78438.jpeg,images/803962-76802.jpeg,images/803966-55355.jpeg,images/803967-70053.jpeg,images/803968-00158.jpeg,images/803969-30118.jpeg"
12,https://www.neighbor.com/listings/texas/bolivar-peninsula/216631,None,Mark,"$216 / mo
$108",$19.77 / mo,$235.77 / mo,Mark,None,Mark,None,None,None,Features,"images/803964-78438.jpeg,images/803967-70053.jpeg,images/803969-30118.jpeg,images/803968-00158.jpeg,images/803966-55355.jpeg,images/803964-78438.jpeg,images/803962-76802.jpeg,images/803962-76802.jpeg,images/803967-70053.jpeg,images/803966-55355.jpeg,images/803968-00158.jpeg,images/803969-30118.jpeg"
13,https://www.neighbor.com/listings/texas/dickinson/98422,None,Oliver,$40,$8,$48,Oliver,None,Oliver,None,None,None,Features,"images/483197-81643.png,images/483196-36668.png,images/483195-37364.png,images/483194-68476.png,images/517679-85170.png"
14,https://www.neighbor.com/listings/texas/dickinson/98447,None,Oliver,$80,$12,$92,Oliver,None,Oliver,None,None,None,Features,"images/483197-81643.png,images/483194-68476.png,images/483195-37364.png,images/483196-36668.png,images/517678-42212.png"
15,https://www.neighbor.com/listings/texas/league-city/203679,Ryan,Parking Lot in League City,$75,$11.72,$86.72,10'x20',None,Parking Lot,Daily,24/7,League City,"We have 25 parking spots available behind our business! You will have access to it at any time, 24/7. We also have security cameras that will be facing the parking lot if there are any issues. Please let us know if you have any questions!","images/774862-74002.jpeg,images/774867-72941.jpeg,images/774868-85740.jpeg,images/774887-43857.jpeg"
16,https://www.neighbor.com/listings/texas/galveston/212272,None,Rosemarie,$79,$11.95,$90.95,Rosemarie,None,Rosemarie,None,None,None,Features,images/797020-50913.jpeg
17,https://www.neighbor.com/listings/texas/seabrook/221462,Michelle,Driveway in Seabrook,"$120 / mo
$60",$15.60 / mo,$135.60 / mo,20'x20',None,Driveway,Daily,24/7,Seabrook,"A nice concrete paved driveway. I do have 1 SUV. There is still space for a vehicles such as 2 compact cars, midsized car, 1 SUV or Van. Property has a security camera. Safe place to store your car.","images/820804-56104.jpeg,images/821414-33956.png,images/821415-54594.png,images/821416-05577.png"
18,https://www.neighbor.com/listings/texas/houston/222324,None,Uyen,"$290 / mo
$145",$23.57 / mo,$313.57 / mo,Uyen,None,Uyen,None,None,None,Features,"images/822809-07658.jpg,images/822810-16921.jpg,images/822811-15113.jpg,images/822812-81543.jpg"
19,https://www.neighbor.com/listings/texas/league-city/227975,Thomas,Unpaved Lot in League City,$191,$19.27,$210.27,14'x40',None,Unpaved Lot,Daily,Daytime hours,League City,"I have an unpaved lot that I want to rent out. It's a private space locked area. I have a security camera to make sure your property is safe and secure. Open area for a car, RV or boat.","images/843732-64644.png,images/843733-29042.jpeg,images/843734-73981.png,images/843735-07183.jpeg,images/843736-36802.png"
20,https://www.neighbor.com/listings/texas/houston/163979,None,Juan,"$218 / mo
$109",$19.79 / mo,$237.79 / mo,Juan,None,Juan,None,None,None,Features,
21,https://www.neighbor.com/listings/texas/league-city/227966,None,Thomas,"$171 / mo
$85.50",$18.54 / mo,$189.54 / mo,Thomas,None,Thomas,None,None,None,Features,
22,https://www.neighbor.com/listings/texas/dickinson/209998,None,Samantha,"$80 / mo
$40",$12 / mo,$92 / mo,Samantha,None,Samantha,None,None,None,Features,
23,https://www.neighbor.com/listings/texas/la-porte/199191,Juan,Driveway in La Porte,"$100 / mo
$50",$14 / mo,$114 / mo,20'x10',None,Driveway,Daily,Daytime hours,La Porte,"20x10 shared space its a 4 car or truck driveway in a low traffic neighborhood area. With motion lights, Security cameras to cover the driveway, any pass byers, and we have on line motion sensor setting on our phone for extra protection.",
24,https://www.neighbor.com/listings/texas/friendswood/107523,None,Madison,"$200 / mo
$100",$19.50 / mo,$219.50 / mo,Madison,None,Madison,None,None,None,Features,"images/554062-93936.jpg,images/554055-03550.jpg"
25,https://www.neighbor.com/listings/texas/league-city/230817,Karlynn,Driveway in League City,$200,$19.50,$219.50,10'x30',None,Driveway,Monthly,Daytime hours,League City,"I have a great paved parking space available in my backyard to rent. It is great for either a boat, RV, or standard vehicle. You can visit the space monthly by appointment only! Please contact me with any questions.","images/842636-58769.jpeg,images/842637-37416.jpeg,images/842638-61647.jpeg,images/842639-69407.jpeg"
26,https://www.neighbor.com/listings/texas/league-city/230816,Karlynn,Garage in League City,$250,$21.57,$271.57,20'x10',None,Garage,Monthly,Daytime hours,League City,"A great parking space available in my garage. It is a two-car garage, and my car will be in the other space. The garage will be cleared out, so the items visible in the photos will be gone. Let me know if you have any questions!","images/842513-50659.png,images/842689-00903.jpeg,images/842690-74309.jpeg,images/842691-74421.jpeg"
27,https://www.neighbor.com/listings/texas/manvel/152272,Gil,Unpaved Lot in Manvel,$85,$12.54,$97.54,50'x10',None,Unpaved Lot,Daily,24/7,Manvel,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630372-39543.jpeg,images/630377-88261.jpeg,images/630376-99360.jpeg,images/630375-12028.jpeg,images/630374-24233.jpeg,images/630373-60376.jpeg,images/630371-22781.jpeg,images/630370-85324.jpeg,images/630292-38200.png"
28,https://www.neighbor.com/listings/texas/dickinson/126079,None,Mattea,"$15 / mo
$7.50",$5.10 / mo,$20.10 / mo,Mattea,None,Mattea,None,None,None,Features,
29,https://www.neighbor.com/listings/texas/pearland/152276,Gil,Unpaved Lot in Pearland,$100,$14,$114,70'x10',None,Unpaved Lot,Daily,24/7,Pearland,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630376-99360.jpeg,images/630292-38200.png,images/630370-85324.jpeg,images/630371-22781.jpeg,images/630372-39543.jpeg,images/630373-60376.jpeg,images/630374-24233.jpeg,images/630375-12028.jpeg,images/630377-88261.jpeg"
30,https://www.neighbor.com/listings/texas/manvel/152269,Gil,Unpaved Lot in Manvel,$75,$11.72,$86.72,30'x10',None,Unpaved Lot,Daily,24/7,Manvel,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630372-39543.jpeg,images/630292-38200.png,images/630370-85324.jpeg,images/630371-22781.jpeg,images/630373-60376.jpeg,images/630374-24233.jpeg,images/630375-12028.jpeg,images/630376-99360.jpeg,images/630377-88261.jpeg"
31,https://www.neighbor.com/listings/texas/manvel/152263,Gil,Unpaved Lot in Manvel,$60,$10.50,$70.50,20'x10',None,Unpaved Lot,Daily,24/7,Manvel,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630370-85324.jpeg,images/630292-38200.png,images/630371-22781.jpeg,images/630372-39543.jpeg,images/630373-60376.jpeg,images/630374-24233.jpeg,images/630375-12028.jpeg,images/630376-99360.jpeg,images/630377-88261.jpeg"
32,https://www.neighbor.com/listings/texas/manvel/152259,Gil,Unpaved Lot in Manvel,$80,$12,$92,40'x10',None,Unpaved Lot,Daily,24/7,Manvel,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630377-88261.jpeg,images/630376-99360.jpeg,images/630375-12028.jpeg,images/630374-24233.jpeg,images/630373-60376.jpeg,images/630372-39543.jpeg,images/630371-22781.jpeg,images/630370-85324.jpeg,images/630292-38200.png"
33,https://www.neighbor.com/listings/texas/pasadena/216155,JG,Driveway in Pasadena,$150,$17.44,$167.44,30'x10',None,Driveway,Daily,Daytime hours,Pasadena,"Large and spacious driveway at my home. Area can fit up to 10 vehicles. Half is covered. Security camera on the property. I will look after the space, as well, when I am home.","images/804472-26055.png,images/804470-48086.png,images/804471-94508.png,images/804473-22134.png"
34,https://www.neighbor.com/listings/texas/manvel/152280,Gil,Unpaved Lot in Manvel,$170,$18.49,$188.49,40'x40',None,Unpaved Lot,Daily,24/7,Manvel,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630372-39543.jpeg,images/630377-88261.jpeg,images/630376-99360.jpeg,images/630375-12028.jpeg,images/630374-24233.jpeg,images/630373-60376.jpeg,images/630371-22781.jpeg,images/630370-85324.jpeg,images/630292-38200.png"
35,https://www.neighbor.com/listings/texas/manvel/152278,Gil,Unpaved Lot in Manvel,$100,$14,$114,70'x10',None,Unpaved Lot,Daily,24/7,Manvel,"I have an open, unpaved lot with lots of space to accommodate cars, trucks, semis, RVs, motorhomes, boats, heavy equipment, and more. I live on-site and will be home most of the time. The lot has a locked gate that requires a code to enter. In a rural, safe area. Accessible 24/7.

In total, I have around 3.9 acres that I can rent out. I have created listings for several different sized spaces to suit your storage needs.","images/630372-39543.jpeg,images/630377-88261.jpeg,images/630376-99360.jpeg,images/630375-12028.jpeg,images/630374-24233.jpeg,images/630373-60376.jpeg,images/630371-22781.jpeg,images/630370-85324.jpeg,images/630292-38200.png"
36,https://www.neighbor.com/listings/texas/pasadena/216144,JG,Unpaved Lot in Pasadena,$150,$17.44,$167.44,30'x10',None,Unpaved Lot,Daily,Daytime hours,Pasadena,"Unpaved uncovered lot is located at the side of my home. A large area where you can store small cars, RV's, boats, and trailers. It has security camera on the premise for peace of mind. You can choose for the spot you want.","images/804444-47990.png,images/804443-14950.png,images/804445-22078.png,images/804446-96659.png"
37,https://www.neighbor.com/listings/texas/pasadena/216174,JG,Unpaved Lot in Pasadena,$500,$32.15,$532.15,50'x20',None,Unpaved Lot,Daily,Daytime hours,Pasadena,"Unpaved uncovered lot is located at the side of my home. A large area where you can store small cars, RV's, boats, and trailers. It has security camera on the premise for peace of mind. You can choose for the spot you want.","images/804431-53339.png,images/804430-91713.png,images/804432-31542.png,images/804433-79379.png"
38,https://www.neighbor.com/listings/texas/rosharon/150454,Jefte,Unpaved Lot in Rosharon,"$85 / mo
$42.50",$12.54 / mo,$97.54 / mo,40'x10',None,Unpaved Lot,Daily,Daytime hours,Rosharon,"I have a secure and private lot with lots of open space. Store any type of passenger vehicle (car, truck, SUV), a trailer, or larger vehicles (boats, RVs). In the photos, you will find the available space behind the house with the red roof.","images/625177-22925.png,images/625180-33345.png,images/625179-32373.png,images/625178-28151.png,images/625176-37345.png"
39,https://www.neighbor.com/listings/texas/rosharon/150449,Jefte,Unpaved Lot in Rosharon,"$75 / mo
$37.50",$11.72 / mo,$86.72 / mo,30'x10',None,Unpaved Lot,Daily,Daytime hours,Rosharon,"I have a secure and private lot with lots of open space. Store any type of passenger vehicle (car, truck, SUV), a trailer, or larger vehicles (boats, RVs). In the photos, you will find the available space behind the house with the red roof.","images/625177-22925.png,images/625176-37345.png,images/625178-28151.png,images/625179-32373.png,images/625180-33345.png"
40,https://www.neighbor.com/listings/texas/galveston/148404,None,Jerrell,$109,$14.77,$123.77,Jerrell,None,Jerrell,None,None,None,Features,
41,https://www.neighbor.com/listings/texas/la-marque/108339,None,Stacy,$75,$11.72,$86.72,Stacy,None,Stacy,None,None,None,Features,"images/515230-01146.jpeg,images/515232-49706.jpeg,images/515233-77890.jpeg,images/515234-23972.jpeg"
42,https://www.neighbor.com/listings/texas/rosharon/149794,Jefte,Unpaved Lot in Rosharon,"$55 / mo
$27.50",$9.97 / mo,$64.97 / mo,20'x10',None,Unpaved Lot,Daily,Daytime hours,Rosharon,"I have a secure and private lot with lots of open space. Store any type of passenger vehicle (car, truck, SUV), a trailer, or larger vehicles (boats, RVs). In the photos, you will find the available space behind the house with the red roof.","images/625177-22925.png,images/625176-37345.png,images/625178-28151.png,images/625179-32373.png,images/625180-33345.png"
43,https://www.neighbor.com/listings/texas/pasadena/215106,JG,Parking Lot in Pasadena,$305,$24.21,$329.21,60'x10',None,Parking Lot,Daily,24/7,Pasadena,I have several parking spots available for rent. I also have a driveway on same street to park additional vehicles. Security cameras monitor the premise 24/7 for peace of mind and protection.,"images/804383-57127.png,images/804382-17296.png,images/804384-54445.png,images/804385-15144.png"
44,https://www.neighbor.com/listings/texas/pasadena/216170,JG,Bedroom in Pasadena,$126,$16.01,$142.01,15'x15',None,Bedroom,Daily,Daytime hours,Pasadena,"Bedroom space available for storage. Ideal for boxes and bins. There are 2 rooms in my home that are vacant. In fact, I am not using many areas of my house, so inquire if you need additional spots.","images/804478-07260.jpeg,images/804475-70960.jpeg,images/804476-41763.jpeg,images/804477-25902.jpeg"
45,https://www.neighbor.com/listings/texas/la-marque/109582,Stacy,Space in La Marque,$55,$9.97,$64.97,20'x10',17',None,Infrequent,Daytime hours,La Marque,You can use for professional storage,images/519781-36927.jpeg
46,https://www.neighbor.com/listings/texas/pasadena/216161,JG,Unpaved Lot in Pasadena,$150,$17.44,$167.44,10'x30',None,Unpaved Lot,Daily,Daytime hours,Pasadena,"It is located at the side of my house. There is no security camera, however tenants can check on it daily. It is fully fenced in with a lock. I have owned this property for 15 years.","images/804418-11865.png,images/804419-43448.png,images/804420-00624.png,images/804421-48019.png"
47,https://www.neighbor.com/listings/texas/seabrook/164268,None,Brian,"$200 / mo
$100",$19.50 / mo,$219.50 / mo,Brian,None,Brian,None,None,None,Features,"images/457139-00648.jpg,images/457147-48800.jpg,images/457146-69221.jpg,images/457137-65556.jpg"
48,https://www.neighbor.com/listings/texas/la-porte/199961,Stephanie,Driveway in La Porte,"$57 / mo
$28.50",$10.19 / mo,$67.19 / mo,12'x5',None,Driveway,Daily,24/7,La Porte,Perfect for your vehicle,
49,https://www.neighbor.com/listings/texas/pasadena/216165,JG,Unpaved Lot in Pasadena,$500,$32.15,$532.15,20'x50',None,Unpaved Lot,Daily,Daytime hours,Pasadena,"It is located at the side of my house. There is no security camera, however tenants can check on it daily. It is fully fenced in with a lock. I have owned this property for 15 years.","images/804415-59999.png,images/804414-69203.png,images/804416-17601.png,images/804417-18076.png"
50,https://www.neighbor.com/listings/texas/houston/188519,None,Carlos,$159,$17.95,$176.95,Carlos,None,Carlos,None,None,None,Features,images/736845-87176.jpeg
51,https://www.neighbor.com/listings/texas/alvin/6272,None,William,"$50 / mo
$25",$9.38 / mo,$59.38 / mo,William,None,William,None,None,None,Features,"images/45145.jpeg,images/45146.jpeg,images/45147.jpeg,images/45148.jpeg,images/45149.jpeg,images/45150.jpeg,images/45151.jpeg,images/45152.jpeg,images/45153.jpeg,images/45154.jpeg,images/45155.jpeg,images/45156.jpeg,images/45157.jpeg,images/45159.jpeg,images/45160.jpeg,images/45161.jpeg,images/45162.jpeg,images/45163.jpeg,images/45164.jpeg"
52,https://www.neighbor.com/listings/texas/houston/189164,None,Carlos,$249,$21.51,$270.51,Carlos,None,Carlos,None,None,None,Features,images/736846-43536.jpeg
53,https://www.neighbor.com/listings/texas/houston/189162,None,Carlos,$179,$18.87,$197.87,Carlos,None,Carlos,None,None,None,Features,images/736836-04940.jpeg
54,https://www.neighbor.com/listings/texas/houston/40161,None,Aly,$60,$10.50,$70.50,Aly,None,Aly,None,None,None,Features,images/183907-61671.jpeg
55,https://www.neighbor.com/listings/texas/houston/194173,Channel,Parking Lot in Houston,"$160 / mo
$80",$18 / mo,$178 / mo,20'x10',None,Parking Lot,Weekly,24/7,Houston,I have access to one parking spot at my apartment complex. I am happy to accommodate any vehicles that will fit in the 20’ x 10’ space. I have lived here for about 1 year and it’s very safe and quiet. Camera monitored 24 hours. I have had no issues thus far with security and/or the surrounding community.,"images/751151-66870.jpeg,images/751152-46966.jpeg,images/751153-39148.jpeg,images/751154-08131.jpeg"
56,https://www.neighbor.com/listings/texas/deer-park/231213,None,Dakota,$115,$15.24,$130.24,Dakota,None,Dakota,None,None,None,Features,"images/844115-23062.png,images/844116-89826.png,images/844120-48383.png,images/844121-90598.png"
57,https://www.neighbor.com/listings/texas/houston/178715,MARLENE,Driveway in Houston,$88,$12.85,$100.85,20'x10',None,Driveway,Daily,24/7,Houston,This parking is perfect for someone who cares about their car paint maintenance yet can have 24/7 access to it. It is shaded from the inclement sun in a residential neighborhood. Centrally located near major highways and main streets. Well-lit area upon approach. Long-term rentals preferred.,"images/709572-15381.jpeg,images/709573-19404.jpeg,images/709574-05691.jpeg,images/709575-30483.jpeg"
58,https://www.neighbor.com/listings/texas/deer-park/230981,None,Dakota,$120,$15.60,$135.60,Dakota,None,Dakota,None,None,None,Features,"images/844090-11568.png,images/844103-02062.png,images/844104-31681.png,images/844105-47097.png"
59,https://www.neighbor.com/listings/texas/manvel/107252,Alexandrea,Parking Lot in Manvel,$100,$14,$114,20'x30',None,Parking Lot,Daily,24/7,Manvel,There is one mobile home on the property which myself and my children live in and I have one vehicle and we have enough room in the back part of the house to park a good 15-20 vehicles and in the front for a good 5 vehicles and we can store more in the further back portion of it that is unpaved. We are the last house on that street with warehouses next door.,"images/541565-27666.jpeg,images/541314-47095.jpeg"
60,https://www.neighbor.com/listings/texas/rosharon/184886,Ruboneka,Garage in Rosharon,$140,$16.80,$156.80,10'x20',None,Garage,Daily,24/7,Rosharon,This is a spacious garage with one 20 ft x 10 ft parking spot currently available. The garage is located inside a gated community with a 24-hour security guard. Contact me for details!,"images/724319-49705.jpeg,images/723908-39933.png,images/723913-77603.png,images/723919-04239.png,images/724320-06414.jpeg"
61,https://www.neighbor.com/listings/texas/friendswood/215987,Ali,Driveway in Friendswood,$110,$14.85,$124.85,20'x20',None,Driveway,Daily,24/7,Friendswood,i have plenty of space...,
62,https://www.neighbor.com/listings/texas/houston/196213,None,Kyle,"$154 / mo
$77",$17.68 / mo,$171.68 / mo,Kyle,None,Kyle,None,None,None,Features,images/755092-88032.jpeg
